	Nazwa
375	Bachorzowa
376	Bachorzówka
377	Bachorzyn
378	Bachorzyn-Kolonia
379	Bachotek
380	Bachów
381	Bachowice
382	Bachówki
383	Bachulowa
384	Bachulówka
385	Bachury
386	Bachus
387	Bacieczki
388	Bacieczki-Kolonia
389	Baciki
390	Baciuty
391	Baciuty-Kolonia
392	Bącka
393	Backi
394	Baćkowice
395	Bacowa
396	Bacowie
397	Bacówka
398	Bącz
399	Bącza
400	Bącza-Kunina
401	Bączal
402	Bączałka
403	Bacze
404	Bacze-Lipnik
405	Bączek
406	Baczka
407	Baczki
408	Bączki
409	Baczków
410	Bączkowiec
411	Bączkówka
412	Bącznik
413	Bączylas
414	Baczyn
415	Baczyna
416	Baczyna-Kolonia
417	Baczyńscy
418	Baczysław
419	Bądecz
420	Bądki
421	Bądków
422	Bądkówek
423	Bądkowo
424	Bądkowo-Podlasie
425	Bądkowo-Rochny
426	Bądkowo-Rumunki
427	Bądle
428	Badonie
429	Badów
430	Badowo-Dańki
431	Badowo-Mściska
432	Badrzychowice
433	Badulki
434	Badunia
435	Badunie
436	Bądy
437	Bądze
438	Bądziołów
439	Badziski
440	Bądzów
441	Bądzyn
442	Bądzyń
443	Bądzyn-Ruda
444	Bągart
445	Bagatela
446	Bagatele
447	Bagatelka
448	Bagdad
449	Bagicz
450	Bagielnica
451	Bagieńce
452	Bagienica
453	Bagienice
454	Bagienice-Folwark
455	Bagienice-Pagórki
456	Bagieniec
457	Bagienka
458	Bagienki
459	Bagienko
460	Bagienna
461	Bagieńsko
462	Bagińskie
463	Bagna
464	Bagnica
465	Bagniewko
466	Bagniewo
467	Bagnisko
468	Bagnity
469	Bagniuki
470	Bagno
471	Bagnówka
472	Bagnowski
473	Bagny
474	Bagonica
475	Bagrówka
476	Bagrowo
477	Bahnowa
478	Baj
479	Bajakowa
480	Bajdów
481	Bajdy
482	Bajdyty
483	Baje
484	Bajerki
485	Bajerówka
486	Bajerska
487	Bajerze
488	Bajki-Zalesie
489	Bajkowizna
490	Bajor
491	Bajorek
492	Bajorki
493	Bajoro
494	Bajorski
495	Bajory
496	Bajówka
497	Bajtkówka
498	Bajtkowo
499	Bajwaki
500	Bąk
501	Bakałarzewo
502	Bąkałówka
503	Bakaniuk
504	Bąki
505	Baklarzowa
506	Bakończyce
507	Baków
508	Bąków
509	Bąków-Kolonia
510	Bąkowa
511	Bąkowice
512	Bąkowiec
513	Bąkowizna
514	Bąkówka
515	Bąkówki
516	Bąkówko
517	Bąkownia
518	Bąkowo
519	Bąkowski
520	Bąkowszczyzna
521	Bakuła
522	Bakun
523	Bakus-Wanda
524	Balachówka
525	Bałachy
526	Bałąg
527	Bałaje
528	Bałamącek
529	Bałamątek
530	Bałamutowo
531	Bałanówka
532	Balarówka
533	Bałażówka
534	Balbinów
535	Balbuzy
536	Balcarki
537	Balcarzowice
538	Balcarzówka
539	Balcer
540	Balcerów
541	Balcery
542	Bałcyny
543	Balczakowa
544	Balczewo
545	Baldachów
546	Bałdoń
547	Bałdowice
548	Bałdowo
549	Baldram
550	Bałdrzychów
551	Baldwinowice
552	Bałdy
553	Bałdzki
554	Bale
555	Bałędzianka
556	Balewko
557	Balewo
558	Balice
559	Balice-Kolonia
560	Balidza
561	Baligród
562	Baliki
563	Balików
564	Balin
565	Balinka
566	Balinkowa
567	Bałkan
568	Bałkany
569	Bałki
570	Balków
571	Bałków
572	Bałkówka
573	Balnica
574	Balonówka
575	Bałosówka
576	Bałoszyce
577	Balowa
578	Balowo
579	Bałowo
580	Balowskie
581	Bałtów
582	Bałtówka
583	Bałtrucie
584	Bałucianka
585	Bałucz
586	Bałupiany
587	Balusie
588	Bałuty
589	Banach
590	Banachów
591	Banachówka
592	Banachy
593	Banaczki
594	Banasie
595	Banasiówka
596	Banaszka
597	Banaszki
598	Banatki
599	Bańca
600	Bańcerówka
601	Bandlów
602	Bandrów
603	Bandurowa
604	Bańdurówka
605	Bańdury
606	Bańdy
607	Bandysie
608	Bandzulka
609	Bańgów
610	Bania
611	Baniak
612	Baniaki
613	Banica
614	Banicha
615	Banie
616	Baniewice
617	Baniewo
618	Baniki
619	Banino
620	Baniocha
621	Baniówka
622	Bańka
623	Banki
624	Bańki
625	Bankowe
626	Bankówka
627	Bańkówka
628	Bańkowskie
629	Bańkowszczyzna
630	Banowice
631	Banówka
632	Bańska
633	Bantachy
634	Bara
635	Barabasze
636	Barabaszówka
637	Barak
638	Baraki
639	Barakówka
640	Baran
641	Baran-Gajówka
642	Barańce
643	Barańciak
644	Barańcowa
645	Barańcówka
646	Baranek
647	Barani
648	Barania
649	Baraniacki
650	Baranica
651	Baranicha
652	Baranie
653	Baraniec
654	Baranina
655	Baraniszki
656	Baranizna
657	Baranki
658	Barankowa
659	Barankowo
660	Baranów
661	Baranowa
662	Baranowce
663	Baranówek
664	Baranowice
665	Baranowiec
666	Baranowizna
667	Baranówka
668	Baranówka-Leśniczówka
669	Baranówki
670	Baranówko
671	Baranowo
672	Baranowo-Osada
673	Barańszczyzna
674	Barany
675	Barbara
676	Barbarka
677	Barbarka-Kolonia
678	Barbarki
679	Barbarówka
680	Barbarowski
681	Barbarzaki
682	Barć
683	Barce
684	Barcelówka
685	Barchaczów
686	Barchlin
687	Barchnowy
688	Barchów
689	Barchów-Zacisze
690	Barciany
691	Barcice
692	Barcie
693	Barcikowice
694	Barcikowiczki
695	Barcikówka
696	Barcikowo
697	Barcin
698	Barcin-Wieś
699	Barcinek
700	Barcino
701	Barciszewo
702	Barcynka
703	Barcza
704	Barcząca
705	Barczew
706	Barczewko
707	Barczewo
708	Barczewski
709	Barczków
710	Barczkowice
711	Barczygłów
712	Barczyzna
713	Barda
714	Bardacie
715	Bardno
716	Bardo
717	Bardonki
718	Bardówka
719	Barduń
720	Bardy
721	Bardychowo
722	Bardynówka
723	Bardyny
724	Bardzice
725	Bardziejów
726	Bardzinek
727	Bardzlino
728	Bardzynin
729	Bargędzino
730	Bargłów
731	Bargłowa
732	Bargłówek
733	Barglówka
734	Bargłówka
735	Bargły
736	Bargów
737	Bargowie
738	Barierka
739	Bark
740	Barka
741	Barki
742	Barkocin
743	Barkowice
744	Barkówko
745	Barkowo
746	Barkweda
747	Barlewice
748	Barlewiczki
749	Barlikowo
750	Barlinek
751	Barłogi
752	Barłogi-Kolonia
753	Barłomino
754	Barłożnia
755	Barłożno
756	Barnakówka
757	Barnasie
758	Barnasiówka
759	Barniewice
760	Barników
761	Barnim
762	Barnimie
763	Barnin
764	Barninek
765	Barnisław
766	Barnisławice
767	Barnkowo
768	Barnowiec
769	Barnówko
770	Barnowo
771	Barnucin
772	Barskie
773	Barszczałówka
774	Barszcze
775	Barszczewo
776	Barszczowa
777	Barszczówka
778	Barszczówki
779	Barszów
780	Bartąg
781	Bartążek
782	Bartczakowo
783	Bartel
784	Bartężek
785	Bartki
786	Bartków
787	Bartkowa
788	Bartkowa-Posadowa
789	Bartkowice
790	Bartkowizna
791	Bartkówka
792	Bartkowo
793	Bartkowski
794	Bartkowskie
795	Bartlewo
796	Bartłomieje
797	Bartłomiejowice
798	Bartne
799	Bartnia
800	Bartnica
801	Bartniczka
802	Bartnik
803	Bartniki
804	Bartno
805	Bartochów
806	Bartodzieje
807	Bartodzieje-Gajówka
808	Bartodzieje-Kolonia
809	Bartodziejewice
810	Bartołdy
811	Bartolin
812	Bartolino
813	Bartołty
814	Bartorzówka
815	Bartosiówka
816	Bartosy
817	Bartosz
818	Bartosza
819	Bartosze
820	Bartoszewice
821	Bartoszewo
822	Bartoszka
823	Bartoszki
824	Bartoszkowo
825	Bartoszów
826	Bartoszowa
827	Bartoszówek
828	Bartoszowiny
829	Bartoszówka
830	Bartoszyce
831	Bartoszycha
832	Bartoszylas
833	Bartusie
834	Barty
835	Bartyki
836	Bartyle
837	Bartyzele
838	Baruchówek
839	Baruchowo
840	Barujec
841	Barut
842	Barutka
843	Barutowa
844	Barwałd
845	Barwice
846	Barwik
847	Barwiki
848	Barwinek
849	Barwino
850	Barwinów
851	Barwiny
852	Barycz
853	Barycz-Kolonia
854	Baryczka
855	Barzkowice
856	Barzowice
857	Barzykówka
858	Barzykowo
859	Barzyna
860	Basakówka
861	Baściki
862	Basen
863	Bąsewice
864	Basiagówka
865	Basie
866	Basin
867	Basinek
868	Basinów
869	Basiówka
870	Baskiery
871	Baśkowo
872	Basonia
873	Basowy
874	Bastacicha
875	Bastówka
876	Bąsze
877	Baszewice
878	Baszki
879	Baszków
880	Baszkówka
881	Basznia
882	Baszowice
883	Baszowice-Resztówka
884	Baszyn
885	Baszyny
886	Batajsk
887	Batkowo
888	Batlaki
889	Batogi
890	Batogowo
891	Batorów
892	Batorówka
893	Batorówko
894	Batorowo
895	Batorz
896	Batorz-Kolonia
897	Batowice
898	Batowo
899	Batraki
900	Baty
901	Batycze
902	Batylowa
903	Batyń
904	Baumówka
905	Bawaria
906	Bawernica
907	Bawoły
908	Baworowa
909	Bażanowice
910	Bażanówka
911	Bażantarnia
912	Bażany
913	Bazar
914	Bazarek
915	Bazarówka
916	Bazary
917	Bazelówka
918	Baziaki
919	Bazów
920	Bazówka
921	Bazydły
922	Bazylany
923	Bazyle
924	Bazylia
925	Bazylianówka
926	Bazylowe
927	Bazyńskie
928	Bażyny
929	Bdzor
930	Bebelno-Kolonia
931	Bebelno-Wieś
932	Bęben
933	Bębenek
934	Bębenki
935	Bębło
936	Bębnikąt
937	Bębnów
938	Bębnówko
939	Bębnowo
940	Bębny
941	Bebrówka
942	Becejły
943	Bechcice
944	Bechcice-Kolonia
945	Bechcice-Parcela
946	Bechcice-Wieś
947	Bęćkowo
948	Becyrk
949	Bęczarka
950	Bęczków
951	Bęczkowice
952	Bęczno
953	Bęczyn
954	Bęczynek
955	Będargowiec
956	Będargowo
957	Bederowiec
958	Bedewo
959	Będgoszcz
960	Będków
961	Będków-Kolonia
962	Będkowice
963	Będkowo
964	Będkowszczyzna
965	Bedlenki
966	Bedlenko
967	Bedlenko-Kolonia
968	Będlewo
969	Będlino
970	Bedlno
971	Bedlno-Kamieniec
972	Bedlno-Wieś
973	Bedlno-Żbiwiec
974	Bednarczykowie
975	Bednarka
976	Bednarki
977	Bednarowo
978	Bednarskie
979	Bednarszczówka
980	Bednary
981	Bednary-Kolonia
982	Bednarze
983	Bednarzec
984	Bednarzowa
985	Bednarzówka
986	Będogoszcz
987	Będomin
988	Będominek
989	Bedoń
990	Bedoń-Wieś
991	Będów
992	Będowskie
993	Będusz
994	Będzelin
995	Będzeń
996	Będziaki
997	Będziechów
998	Będziechowo
999	Będziemyśl
1000	Będzienica
1001	Będzieszewo
1002	Będzieszyn
1003	Będzieszyna
1004	Będzimierz
1005	Będzin
1006	Będzinko
1007	Będzino
1008	Będziszewo
1009	Będzitówek
1010	Będzitowo
1011	Będzitowskie
1012	Będźmierowice
1013	Będzwyn
1014	Będzymin
1015	Będzyn
1016	Bęglewo
1017	Begno
1018	Bejdy
1019	Bejsce
1020	Bejzlerówka
1021	Beka
1022	Bekacze
1023	Bekanówka
1024	Bekasowo
1025	Bekiesza
1026	Beksza
1027	Bełch
1028	Bełchatów
1029	Bełchatówek
1030	Bełchów
1031	Bełchówka
1032	Belcikówka
1033	Belców
1034	Bełcz
1035	Bełcząc
1036	Bełczączka
1037	Bełcze
1038	Bełczna
1039	Bełczyna
1040	Bełda
1041	Bełdno
1042	Bełdów
1043	Bełdów-Krzywa
1044	Bełdówek
1045	Bełdyki
1046	Belęcin
1047	Bełek
1048	Beleń
1049	Beleń-Kolonia
1050	Beleńskie
1051	Belfont
1052	Belfort
1053	Belgrad
1054	Belin
1055	Belina
1056	Bełk
1057	Bełki
1058	Bełkowiec
1059	Bełkowo
1060	Belna
1061	Belno
1062	Belny
1063	Belonówka
1064	Belsk
1065	Bełskie
1066	Bełszewo
1067	Bełszewo-Kolonia
1068	Bełsznica
1069	Bełtno
1070	Bełtówka
1071	Belweder
1072	Bełwin
1073	Belzatka
1074	Bełżec
1075	Bełzów
1076	Bełżyce
1077	Bemowizna
1078	Bemowo
1079	Bemowskie
1080	Bendorzyn
1081	Benedykówka
